dataset,pred_len,mse,mae,model_id,seed,trainable_parameters,epochs_recorded,train_seconds,log_path,activation,alpha,armor_cycle,armor_dropout,armor_lr_scale,armor_scale,batch_size,c_out,channel_independence,checkpoints,class_strategy,compile,d_ff,d_layers,d_model,data,data_path,dec_in,des,devices,distil,do_predict,dropout,e_layers,efficient_training,embed,enc_in,exp_name,factor,features,fix_seed,freq,geomattn_dropout,gpu,inverse,is_training,itr,kernel_size,l1_weight,label_len,learning_rate,loss,lradj,m,model,moving_avg,n_heads,num_workers,output_attention,partial_start_index,patience,pct_start,requires_grad,root_path,seq_len,target,target_data_path,target_root_path,train_epochs,use_amp,use_embedding_armor,use_gpu,use_multi_gpu,use_norm,use_xlinear_gate,weight_decay,wv,x_channel_ff,x_gate_dropout,x_temporal_ff
ETTh1,96,0.3595208525657654,0.39382287859916687,ETTh1_p96_arch12,2025,75352,10,60.174132347106934,logs/esimpletm_grid_expanded_ETTh1/ETTh1_p96_arch12.log,gelu,0.3,24,0.0,1.4,1.25,256,7,False,./checkpoints/,projection,False,256,1,64,ETTh1,ETTh1.csv,7,ESimpleTMGridETT2,"0,1,2,3",True,False,0.1,1,False,timeF,7,MTSF,1,M,2025,h,0.5,0,False,1,1,,0.0005,0,0.02,MSE,TST,3,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/ETT-small/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,,0.01,db1,,,
ETTh1,96,0.3595208525657654,0.39382287859916687,ETTh1_p96_arch12,2025,75352,10,33.77623963356018,logs/night_grid_ETTh1/ETTh1_p96_arch12.log,gelu,0.3,24,0.0,1.4,1.25,256,7,False,./checkpoints/,projection,False,256,1,64,ETTh1,ETTh1.csv,7,NightGrid,"0,1,2,3",True,False,0.1,1,False,timeF,7,MTSF,1,M,2025,h,0.5,0,False,1,1,,0.0005,0,0.02,MSE,TST,3,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/ETT-small/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,,0.01,db1,,,
ETTh1,96,0.35953354835510254,0.38977792859077454,ETTh1_p96_as1.5,2025,19224,10,59.25108599662781,logs/esimpletm_grid_expanded_ETTh1/ETTh1_p96_as1.5.log,gelu,0.3,24,0.0,1.4,1.5,256,7,False,./checkpoints/,projection,False,32,1,32,ETTh1,ETTh1.csv,7,ESimpleTMGridETT2,"0,1,2,3",True,False,0.1,1,False,timeF,7,MTSF,1,M,2025,h,0.5,0,False,1,1,,0.0005,0,0.02,MSE,TST,3,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/ETT-small/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,,0.01,db1,,,
ETTh1,96,0.35953354835510254,0.38977792859077454,ETTh1_p96_as1.5,2025,19224,10,29.50617241859436,logs/night_grid_ETTh1/ETTh1_p96_as1.5.log,gelu,0.3,24,0.0,1.4,1.5,256,7,False,./checkpoints/,projection,False,32,1,32,ETTh1,ETTh1.csv,7,NightGrid,"0,1,2,3",True,False,0.1,1,False,timeF,7,MTSF,1,M,2025,h,0.5,0,False,1,1,,0.0005,0,0.02,MSE,TST,3,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/ETT-small/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,,0.01,db1,,,
ETTh1,96,0.35968056321144104,0.3904554843902588,ETTh1_p96_gd0.9,2025,19224,10,60.682148933410645,logs/esimpletm_grid_expanded_ETTh1/ETTh1_p96_gd0.9.log,gelu,0.3,24,0.0,1.4,1.25,256,7,False,./checkpoints/,projection,False,32,1,32,ETTh1,ETTh1.csv,7,ESimpleTMGridETT2,"0,1,2,3",True,False,0.1,1,False,timeF,7,MTSF,1,M,2025,h,0.9,0,False,1,1,,0.0005,0,0.02,MSE,TST,3,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/ETT-small/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,,0.01,db1,,,
ETTh1,96,0.3596847653388977,0.3900774419307709,ETTh1_p96_base,2025,19224,10,48.67904019355774,logs/esimpletm_grid_expanded_ETTh1/ETTh1_p96_base.log,gelu,0.3,24,0.0,1.4,1.25,256,7,False,./checkpoints/,projection,False,32,1,32,ETTh1,ETTh1.csv,7,ESimpleTMGridETT2,"0,1,2,3",True,False,0.1,1,False,timeF,7,MTSF,1,M,2025,h,0.5,0,False,1,1,,0.0005,0,0.02,MSE,TST,3,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/ETT-small/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,,0.01,db1,,,
ETTh1,96,0.3596847653388977,0.3900774419307709,ETTh1_EGrid1b_p96_as1.25_alr1.4_ad0.0,2025,19224,10,27.07913374900818,logs/grid_e_stage1b/ETTh1_p96_as1.25_alr1.4_ad0.0.log,gelu,0.3,24,0.0,1.4,1.25,256,7,False,./checkpoints/,projection,False,32,1,32,ETTh1,ETTh1.csv,7,EGrid1b,"0,1,2,3",True,False,0.1,1,False,timeF,7,MTSF,1,M,2025,h,0.5,0,False,1,1,,0.0005,0,0.02,MSE,TST,3,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/ETT-small/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,,0.01,db1,,,
ETTh1,96,0.3596847653388977,0.3900774419307709,ETTh1_p96_base,2025,19224,8,29.49310851097107,logs/night_grid_ETTh1/ETTh1_p96_base.log,gelu,0.3,24,0.0,1.4,1.25,256,7,False,./checkpoints/,projection,False,32,1,32,ETTh1,ETTh1.csv,7,NightGrid,"0,1,2,3",True,False,0.1,1,False,timeF,7,MTSF,1,M,2025,h,0.5,0,False,1,1,,0.0005,0,0.02,MSE,TST,3,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/ETT-small/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,,0.01,db1,,,
ETTh1,96,0.35969433188438416,0.38999414443969727,ETTh1_p96_alpha1.0,2025,19224,10,56.91093111038208,logs/esimpletm_grid_expanded_ETTh1/ETTh1_p96_alpha1.0.log,gelu,1.0,24,0.0,1.4,1.25,256,7,False,./checkpoints/,projection,False,32,1,32,ETTh1,ETTh1.csv,7,ESimpleTMGridETT2,"0,1,2,3",True,False,0.1,1,False,timeF,7,MTSF,1,M,2025,h,0.5,0,False,1,1,,0.0005,0,0.02,MSE,TST,3,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/ETT-small/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,,0.01,db1,,,
ETTh1,96,0.35969433188438416,0.38999414443969727,ETTh1_p96_alpha1.0,2025,19224,10,28.303749322891235,logs/night_grid_ETTh1/ETTh1_p96_alpha1.0.log,gelu,1.0,24,0.0,1.4,1.25,256,7,False,./checkpoints/,projection,False,32,1,32,ETTh1,ETTh1.csv,7,NightGrid,"0,1,2,3",True,False,0.1,1,False,timeF,7,MTSF,1,M,2025,h,0.5,0,False,1,1,,0.0005,0,0.02,MSE,TST,3,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/ETT-small/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,,0.01,db1,,,
