dataset,pred_len,mse,mae,model_id,seed,trainable_parameters,epochs_recorded,train_seconds,log_path,activation,alpha,armor_cycle,armor_dropout,armor_lr_scale,armor_scale,batch_size,c_out,channel_independence,checkpoints,class_strategy,compile,d_ff,d_layers,d_model,data,data_path,dec_in,des,devices,distil,do_predict,dropout,e_layers,efficient_training,embed,enc_in,exp_name,factor,features,fix_seed,freq,geomattn_dropout,gpu,inverse,is_training,itr,kernel_size,l1_weight,label_len,learning_rate,loss,lradj,m,model,moving_avg,n_heads,num_workers,output_attention,partial_start_index,patience,pct_start,requires_grad,root_path,seq_len,target,target_data_path,target_root_path,train_epochs,use_amp,use_embedding_armor,use_gpu,use_multi_gpu,use_norm,weight_decay,wv
ETTm1,720,0.43696802854537964,0.4312897026538849,ETTm1_p720_wvdb4,2025,39984,10,196.0899887084961,logs/esimpletm_grid_expanded_ETTm1/ETTm1_p720_wvdb4.log,gelu,0.1,24,0.0,1.0,1.0,256,7,False,./checkpoints/,projection,False,32,1,32,ETTm1,ETTm1.csv,7,ESimpleTMGridETT2,"0,1,2,3",True,False,0.1,1,False,timeF,7,MTSF,1,M,2025,h,0.5,0,False,1,1,,0.005,0,0.02,MSE,TST,3,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/ETT-small/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,0.01,db4
ETTm2,96,0.16781453788280487,0.24983803927898407,ETTm2_p96_cycle96,2025,37712,10,187.7409417629242,logs/esimpletm_grid_expanded_ETTm2/ETTm2_p96_cycle96.log,gelu,0.3,96,0.0,1.0,1.0,256,7,False,./checkpoints/,projection,False,32,1,32,ETTm2,ETTm2.csv,7,ESimpleTMGridETT2,"0,1,2,3",True,False,0.1,1,False,timeF,7,MTSF,1,M,2025,t,0.5,0,False,1,1,,0.0005,0,0.006,MSE,TST,3,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/ETT-small/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,0.01,bior3.1
ETTm2,192,0.23184636235237122,0.2915283143520355,ETTm2_p192_lr0.0042,2025,22448,10,128.7978594303131,logs/esimpletm_grid_expanded_ETTm2/ETTm2_p192_lr0.0042.log,gelu,0.0,24,0.0,1.0,1.0,256,7,False,./checkpoints/,projection,False,32,1,32,ETTm2,ETTm2.csv,7,ESimpleTMGridETT2,"0,1,2,3",True,False,0.1,1,False,timeF,7,MTSF,1,M,2025,h,0.5,0,False,1,1,,0.005,0,0.0042,MSE,TST,1,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/ETT-small/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,0.01,bior3.1
ETTm2,336,0.29102447628974915,0.332037091255188,ETTm2_p336_gd0.75,2025,66352,8,220.8739230632782,logs/esimpletm_grid_expanded_ETTm2/ETTm2_p336_gd0.75.log,gelu,0.6,24,0.0,1.0,1.0,128,7,False,./checkpoints/,projection,False,64,1,64,ETTm2,ETTm2.csv,7,ESimpleTMGridETT2,"0,1,2,3",True,False,0.1,1,False,timeF,7,MTSF,1,M,2025,h,0.75,0,False,1,1,,5e-05,0,0.006,MSE,TST,1,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/ETT-small/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,0.01,bior3.3
ETTm2,720,0.38408008217811584,0.39042559266090393,ETTm2_p720_cycle96,2025,210056,10,153.02352094650269,logs/esimpletm_grid_expanded_ETTm2/ETTm2_p720_cycle96.log,gelu,1.0,96,0.0,1.0,1.0,256,7,False,./checkpoints/,projection,False,96,1,96,ETTm2,ETTm2.csv,7,ESimpleTMGridETT2,"0,1,2,3",True,False,0.1,1,False,timeF,7,MTSF,1,M,2025,t,0.5,0,False,1,1,,0.0,0,0.003,MSE,TST,3,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/ETT-small/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,0.01,db1
ECL,96,0.13177268207073212,0.2266332060098648,ECL_p96_cycle168,2025,14773096,10,314.2212839126587,logs/esimpletm_grid_expanded_ECL/ECL_p96_cycle168.log,gelu,0.0,168,0.0,1.0,1.0,256,321,False,./checkpoints/,projection,False,1024,1,256,custom,electricity.csv,321,ESimpleTMGridETT2,"0,1,2,3",True,False,0.1,1,False,timeF,321,MTSF,1,M,2025,h,0.5,0,False,1,1,,0.0,0,0.01,MSE,TST,3,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/electricity/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,0.01,db1
ECL,192,0.14109523594379425,0.23986858129501343,ECL_p192_cycle168,2025,14797768,10,326.29527735710144,logs/esimpletm_grid_expanded_ECL/ECL_p192_cycle168.log,gelu,0.0,168,0.0,1.0,1.0,256,321,False,./checkpoints/,projection,False,1024,1,256,custom,electricity.csv,321,ESimpleTMGridETT2,"0,1,2,3",True,False,0.1,1,False,timeF,321,MTSF,1,M,2025,h,0.5,0,False,1,1,,0.0,0,0.006,MSE,TST,3,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/electricity/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,0.01,db1
ECL,336,0.16397526860237122,0.25961774587631226,ECL_p336_cycle168,2025,14834776,10,348.32656168937683,logs/esimpletm_grid_expanded_ECL/ECL_p336_cycle168.log,gelu,0.0,168,0.0,1.0,1.0,256,321,False,./checkpoints/,projection,False,1024,1,256,custom,electricity.csv,321,ESimpleTMGridETT2,"0,1,2,3",True,False,0.1,1,False,timeF,321,MTSF,1,M,2025,h,0.5,0,False,1,1,,5e-05,0,0.006,MSE,TST,3,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/electricity/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,0.01,db1
ECL,720,0.18813106417655945,0.28333020210266113,ECL_p720_cycle168,2025,14933464,10,372.51087284088135,logs/esimpletm_grid_expanded_ECL/ECL_p720_cycle168.log,gelu,0.0,168,0.0,1.0,1.0,256,321,False,./checkpoints/,projection,False,1024,1,256,custom,electricity.csv,321,ESimpleTMGridETT2,"0,1,2,3",True,False,0.1,1,False,timeF,321,MTSF,1,M,2025,h,0.5,0,False,1,1,,5e-05,0,0.006,MSE,TST,3,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/electricity/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,0.01,db1
Weather,96,0.15067587792873383,0.1943844109773636,Weather_p96_arch16,2025,185376,10,371.44684648513794,logs/esimpletm_grid_expanded_Weather/Weather_p96_arch16.log,gelu,0.3,24,0.0,1.0,1.0,256,21,False,./checkpoints/,projection,False,96,1,96,custom,weather.csv,21,ESimpleTMGridETT2,"0,1,2,3",True,False,0.1,2,False,timeF,21,MTSF,1,M,2025,h,0.5,0,False,1,1,,5e-05,0,0.01,MSE,TST,1,SimpleTM,25,8,10,False,0,3,0.2,True,./dataset/weather/,96,OT,electricity.csv,./data/electricity/,10,False,1,True,False,1,0.01,db4
